"Discipline Group - VET",,"ASCED Field of Education",
"0902120","Audit & Internal Control","080101","Accounting"
"0902125","Bookkeeping","080101","Accounting"
"0902130","Taxation","080101","Accounting"
"0903105","Banking","081101","Banking and Finance"
"0903110","Finance","081101","Banking and Finance"
"0903115","Investment","081105","Investment and Securities"
"0903120","Stockbroking","081105","Investment and Securities"
"0903125","Financial Management","081105","Investment and Securities"
,,"081199","Banking, Finance and Related Fields, n.e.c."
"0903205","Real Estate","080503","Real Estate"
"0903210","Land Broking","080503","Real Estate"
"0903215","Valuation - Land/Property","089903","Valuation"
"0903220","Property Management","080503","Real Estate"
"0903301","Insurance - General","081103","Insurance and Actuarial Studies"
"0903405","Advertising","080507","Advertising"
"0903410","Public Relations","080509","Public Relations"
"0903415","Media Studies","100701","Audio Visual Studies"
,,"100799","Communication and Media Studies, n.e.c."
"0903420","Client Servicing","080509","Public Relations"
"0903505","Marketing","080505","Marketing"
"0903510","Wholesaling & Distribution","089901","Purchasing, Warehousing and Distribution"
"0903515","Importing/Exporting","080311","International Business"
"0903520","Product & Services Design & Development","080505","Marketing"
"0903525","Sales Management","080501","Sales"
"0903530","Retail Sales","080501","Sales"
"0903535","International Trade","080311","International Business"
"0903540","Purchasing","080501","Sales"
,,"089901","Purchasing, Warehousing and Distribution"
"0903545","Inventory/Stock Control","089901","Purchasing, Warehousing and Distribution"
"0903550","Merchandising - Sales","080501","Sales"
"0903601","Transport - General","030909","Transport Engineering"
,,"089901","Purchasing, Warehousing and Distribution"
"0903605","Transport Systems","030909","Transport Engineering"
"0903610","Transport Of Dangerous Goods","089901","Purchasing, Warehousing and Distribution"
"0904105","General Management","080300","Business and Management, n.f.d."
"0904110","Administration","080000","Management and Commerce, n.f.d."
"0904115","Supervision","080303","Human Resource Management"
"0904120","Management Theory","080303","Human Resource Management"
,,"080307","Organisation Management"
"0904125","Leadership","080303","Human Resource Management"
"0904201","Industrial Relations - General","080309","Industrial Relations"
"0904301","Personnel Management & Development - General","080303","Human Resource Management"
"0904310","Recruitment & Personnel Selection","080303","Human Resource Management"
"0904315","Staff Development & Training","080303","Human Resource Management"
"0904320","Personnel Administration","080303","Human Resource Management"
"0904401","Public Administration - General","080313","Public and Health Care Administration"
"0904501","Small Business Management & Operations - General","080301","Business Management"
"0904510","Business Management & Planning","080301","Business Management"
"0904515","Business Operations","080301","Business Management"
"0905105","Secretarial Studies","080901","Secretarial and Clerical Studies"
"0905110","Word Processing","080905","Practical Computing Skills"
"0905115","Clerical Studies","080901","Secretarial and Clerical Studies"
"0905120","Typing","080903","Keyboard Skills"
"0905125","Shorthand","080901","Secretarial and Clerical Studies"
"0905130","Office Management","080901","Secretarial and Clerical Studies"
,,"080999","Office Studies, n.e.c."
"0906101","Law - General","090900","Law, n.f.d."
"0906110","Criminal Law","090905","Criminal Law"
"0906115","Constitutional Law","090903","Constitutional Law"
"0906120","Family & Common Law","090907","Family Law"
"0906125","Civil Law","090999","Law, n.e.c."
"0906130","Administrative Law","090999","Law, n.e.c."
"0906135","Business & Commercial Law","090901","Business and Commercial Law"
,,"090911","Taxation Law"
"0906140","Corporation Law","090901","Business and Commercial Law"
"0906145","International Law","090909","International Law"
"0906201","Justice - General","091101","Justice Administration"
"0906205","Justice Administration","091101","Justice Administration"
"0906210","Courts Operation","091101","Justice Administration"
"0906215","Correctional Services","091199","Justice and Law Enforcement, n.e.c."
"0906301","Legal Studies - General","091103","Legal Studies"
"0906401","Jurisprudence - General","091103","Legal Studies"
"0906501","Law Enforcement - General","080311","International Business"
,,"091105","Police Studies"
,,"091199","Justice and Law Enforcement, n.e.c."
"0906510","Crime Detection & Prevention","091105","Police Studies"
"0906515","Criminology","099903","Criminology"
"0906520","Crime Statistics & Research","099903","Criminology"
"0906525","Police Studies","091105","Police Studies"
"0999999","Other Administration, Business, Economics, Law","0","No correspondence"
"10","BUILT ENVIRONMENT",,
"1001101","Architecture - General","040101","Architecture"
"1001110","Architectural Drawing/Drafting/Design","040101","Architecture"
"1002101","Environmental Design - General","040107","Interior and Environmental Design"
"1002201","Landscape Architecture - General","040105","Landscape Architecture"
"1002301","Industrial Design - General","030703","Industrial Engineering"
"1002405","Urban Planning","040103","Urban Design and Regional Planning"
"1002410","Regional Planning","040103","Urban Design and Regional Planning"
"1002415","Planning Law","090999","Law, n.e.c."
"1002420","Draining & Irrigation Systems","030907","Water and Sanitary Engineering"
,,"059999","Agriculture, Environmental and Related Studies, n.e.c."
"1002501","Interior Design/Decoration - General","040107","Interior and Environmental Design"
"1002510","Furniture & Fittings Design","040107","Interior and Environmental Design"
,,"100599","Graphic and Design Studies, n.e.c."
"1003105","Building Construction","040301","Building Science and Technology"
,,"040303","Building Construction Management"
"1003110","Building Technology","040301","Building Science and Technology"
"1003115","Building & Building Industry Controls & Regulations","040305","Building Surveying"
"1003125","Building Construction Services & Systems","040303","Building Construction Management"
,,"040329","Scaffolding and Rigging"
"1003130","Crane Chasing","030717","Plant and Machine Operations"
"1003205","Bricklaying","040309","Bricklaying and Stonemasonry"
"1003210","Stonemasonry","040309","Bricklaying and Stonemasonry"
"1003215","Tile Fixing","040313","Ceiling, Wall and Floor Fixing"
,,"040315","Roof Fixing"
"1003220","Concreting","040399","Building, n.e.c."
"1003225","Mortar & Other Adhesives","040309","Bricklaying and Stonemasonry"
,,"040313","Ceiling, Wall and Floor Fixing"
,,"040399","Building, n.e.c."
"1003305","Cabinet-Making","030113","Cabinet Making"
"1003310","Wood Work","030111","Wood Machining and Turning"
,,"040311","Carpentry and Joinery"
"1003315","Furniture Design & Construction","030113","Cabinet Making"
,,"030117","Furniture Polishing"
,,"030799","Mechanical and Industrial Engineering and Technology, n.e.c."
,,"100599","Graphic and Design Studies, n.e.c."
"1003320","Furniture Upholstery & Renovation","030115","Furniture Upholstery and Renovation"
"1003401","Carpentry & Joinery - General","040311","Carpentry and Joinery"
"1003405","Carpentry","040311","Carpentry and Joinery"
"1003410","Joinery","040311","Carpentry and Joinery"
"1003505","Ceiling, Wall, Floor & Roof Fixing","040313","Ceiling, Wall and Floor Fixing"
,,"040315","Roof Fixing"
"1003510","Ceiling, Wall, Floor & Roof Cladding Materials","040313","Ceiling, Wall and Floor Fixing"
,,"040315","Roof Fixing"
"1003515","Plastering","040317","Plastering"
"1003605","Furnishings","040319","Furnishing Installation"
"1003610","Floor Coverings","040321","Floor Coverings"
"1003615","Making & Installing Blinds, Drapes, Curtains &","030199","Manufacturing Engineering and Technology, n.e.c."
,"Awnings","040319","Furnishing Installation"
"1003701","Glazing - General","040323","Glazing"
"1003805","Painting (Built Construction)","040325","Painting, Decorating and Sign Writing"
"1003810","Decorating","040325","Painting, Decorating and Sign Writing"
"1003815","Signwriting","040325","Painting, Decorating and Sign Writing"
"1003820","Paints & Other Finishes","040325","Painting, Decorating and Sign Writing"
"1003905","Plumbing","040327","Plumbing"
"1003910","Gas-Fitting","040327","Plumbing"
"1003915","Draining - Building","040327","Plumbing"
"1004105","Surveying","031101","Surveying"
"1004110","Survey Drafting","031101","Surveying"
"1004115","Survey Engineering","031101","Surveying"
"1004120","Photogrammetry","031199","Geomatic Engineering, n.e.c."
"1004201","Cartography - General","031103","Mapping Science"
"1004210","Mapping - Cartography","031103","Mapping Science"
"1004301","Quantity Surveying - General","040307","Building Construction Economics"
"1099999","Other Built Environment","040199","Architecture and Urban Environment, n.e.c."
,,"040399","Building, n.e.c."
"11","AGRICULTURE, RENEWABLE RESOURCES",,
"1101101","Agricultural/Land/Rural Services & Supplies - General","0","No correspondence"
"1101110","Sheep Management","050101","Agricultural Science"
,,"050103","Wool Science"
"1101115","Wool Science","050103","Wool Science"
"1101120","Cane Testing","019905","Food Science and Biotechnology"
"1101125","Rural Merchandising","080501","Sales"
"1101130","Farm Mechanics & Technology","030707","Metal Fitting, Turning and Machining"
,,"030717","Plant and Machine Operations"
,,"039999","Engineering and Related Technologies, n.e.c."
,,"050199","Agriculture, n.e.c."
"1101135","Retail & Wholesale Operations - Agricultural","030307","Food Processing Technology"
,,"080501","Sales"
,,"080599","Sales and Marketing, n.e.c."
"1101201","Soil & Water Management - General","010711","Hydrology"
,,"050901","Land, Parks and Wildlife Management"
"1101205","Soil Science","010709","Soil Science"
"1101210","Soil Management","050901","Land, Parks and Wildlife Management"
"1101215","Water Management","010711","Hydrology"
,,"059999","Agriculture, Environmental and Related Studies, n.e.c."
"1101230","Soil & Water Survey Methods","010709","Soil Science"
,,"010711","Hydrology"
,,"031101","Surveying"
"1101301","Amenities Horticulture - General","050301","Horticulture"
"1101310","Arboriculture (Non Food Production)","050301","Horticulture"
"1101315","Floriculture","050301","Horticulture"
"1101320","Gardening (Amenities)","050301","Horticulture"
"1101330","Landscape Gardening","040105","Landscape Architecture"
"1101335","Green-Keeping/Turf Management","050301","Horticulture"
"1101340","Nursery/Greenhouse Operation & Management","050301","Horticulture"
"1101405","Viticulture","050303","Viticulture"
"1101410","Oenology","019905","Food Science and Biotechnology"
"1101415","Vine Management","050303","Viticulture"
"1101420","Wine Production & Evaluation","019905","Food Science and Biotechnology"
,,"050303","Viticulture"
"1101425","Winery Cellar Operation","030307","Food Processing Technology"
"1101430","Wine Technology","019905","Food Science and Biotechnology"
"1101501","Agronomy/Production Horticulture - General","050301","Horticulture"
"1101510","Plant & Crop Propagation","050301","Horticulture"
"1101515","Plant Science & Identification","010903","Botany"
"1101520","Soil Preparation & Fertilisation","050101","Agricultural Science"
"1101525","Seed Technology","050101","Agricultural Science"
"1101530","Pest & Weed Control","059901","Pest and Weed Control"
"1101535","Harvesting & Storage","050101","Agricultural Science"
"1101540","Vegetable Production","050301","Horticulture"
"1101545","Fruit & Nut Production","050301","Horticulture"
"1101550","Cotton Production","050101","Agricultural Science"
"1101555","Sugar-Cane Production","050101","Agricultural Science"
"1101560","Cereal & Grain Crop Production","050101","Agricultural Science"
"1101565","Legume Crop Production","050101","Agricultural Science"
"1101605","Rural/Farm Operations","080321","Farm Management and Agribusiness"
"1101610","Farming Systems","050101","Agricultural Science"
"1101615","Rural/Farm Science","050101","Agricultural Science"
"1101620","Rural/Farm Resource Planning","080321","Farm Management and Agribusiness"
"1101625","Animal, Plant & Crop Management","050101","Agricultural Science"
"1102101","Animal Husbandry - General","050105","Animal Husbandry"
"1102110","Animal House Management","050105","Animal Husbandry"
"1102115","Animal Training","050105","Animal Husbandry"
"1102120","Equine Studies","050105","Animal Husbandry"
"1102125","Domestic Animal Care & Nursing","050105","Animal Husbandry"
,,"061103","Veterinary Assisting"
"1102205","Animal Farming","050101","Agricultural Science"
"1102210","Animal Breeding","050105","Animal Husbandry"
"1102215","Animal Science & Technology","010915","Zoology"
,,"050105","Animal Husbandry"
"1102220","Animal Nutrition","050105","Animal Husbandry"
"1102225","Dairy Farming / Dairies","050101","Agricultural Science"
"1102235","Bee Keeping","050105","Animal Husbandry"
"1102305","Animal Inspection","050105","Animal Husbandry"
"1102310","Animal Health Care","050105","Animal Husbandry"
"1102315","Animal Diseases And Pests","050105","Animal Husbandry"
"1102320","Animal Health Legislation/Law","090999","Law, n.e.c."
"1102405","Fish & Seafood Processing","030307","Food Processing Technology"
"1102410","Fish & Seafood Farming","050701","Aquaculture"
"1102415","Fisheries Science","050701","Aquaculture"
,,"050799","Fisheries Studies, n.e.c."
"1103101","Forestry - General","050501","Forestry Studies"
"1103105","Forestry Production","050501","Forestry Studies"
"1103110","Forest Products Utilisation","030305","Materials Engineering"
"1103115","Forest Products Processing Technology","030305","Materials Engineering"
"1103120","Forest Hydrology","050501","Forestry Studies"
"1103125","Forest Engineering/Technologies","050501","Forestry Studies"
"1103130","Forest Resource Management","050501","Forestry Studies"
"1103135","Forest Re-vegetation","050501","Forestry Studies"
"1103140","Forestry Science","050501","Forestry Studies"
"1103145","Timber Science & Technology","030305","Materials Engineering"
"1103150","Timber Merchandising & Operations","030111","Wood Machining and Turning"
,,"030305","Materials Engineering"
,,"030717","Plant and Machine Operations"
,,"080501","Sales"
"1103155","Logging","050501","Forestry Studies"
"1103201","Park & Wildlife Management - General","050901","Land, Parks and Wildlife Management"
"1103210","Flora & Fauna Management","050901","Land, Parks and Wildlife Management"
"1103215","Park Design & Development","050901","Land, Parks and Wildlife Management"
"1103301","Conservation - General","050501","Forestry Studies"
,,"050901","Land, Parks and Wildlife Management"
,,"050999","Environmental Studies, n.e.c."
"1103310","Water Conservation","050999","Environmental Studies, n.e.c."
"1103315","Soil/Land Conservation","050999","Environmental Studies, n.e.c."
"1104101","Veterinary Science - General","061101","Veterinary Science"
,,"061199","Veterinary Studies, n.e.c."
"1104110","Veterinary Nursing","061103","Veterinary Assisting"
"1105101","Renewable Resources - General","050501","Forestry Studies"
,,"050701","Aquaculture"
,,"050999","Environmental Studies, n.e.c."
"1105110","Waste Management","039901","Environmental Engineering"
"1199999","Other Agriculture, Renewable Resources","059999","Agriculture, Environmental and Related Studies, n.e.c."
"12","HOSPITALITY, TOURISM & PERSONAL SERVICES",,
"1201101","Hospitality - General","110101","Hospitality"
"1201110","Hospitality Management","080319","Hospitality Management"
,,"110101","Hospitality"
"1201115","Beverage And Food Service","110103","Food and Beverage Service"
"1201120","Hotel/Motel & Other Hospitality Services & Facilities","110101","Hospitality"
"1201205","Bakery Technology","110107","Baking and Pastrymaking"
"1201210","Bakery Organisation","080301","Business Management"
"1201215","Bread And Pastry Making","110107","Baking and Pastrymaking"
"1201220","Cake Making/Decorating","110107","Baking and Pastrymaking"
"1201301","Butchery - General","110105","Butchery"
"1201310","Meat Inspection","030307","Food Processing Technology"
"1201315","Meat Manufacture","110105","Butchery"
"1201320","Smallgoods Manufacturing","030307","Food Processing Technology"
"1201405","General Cookery","110109","Cookery"
"1201410","Food And Kitchen Management","110109","Cookery"
"1201505","Commercial Cookery & Operations","110109","Cookery"
"1201510","Commercial Catering","110101","Hospitality"
"1201515","Commercial Food Operations And Management","110109","Cookery"
"1202105","Travel","080701","Tourism"
"1202110","Tourism","080701","Tourism"
"1202115","Tourism Management","080323","Tourism Management"
"1203101","Recreation & Outdoor Leisure - General","092101","Sport and Recreation Activities"
,,"092199","Sport and Recreation, n.e.c."
"1203110","Recreational Leadership","092103","Sports Coaching, Officiating and Instruction"
"1203115","Fishing, Hunting & Shooting","092101","Sport and Recreation Activities"
"1203120","Equestrian Sports & Animal Racing","092101","Sport and Recreation Activities"
"1203201","Relaxation Techniques - General","061711","Massage Therapy"
,,"061999","Complementary Therapies, n.e.c."
"1203305","Sport & Fitness","092101","Sport and Recreation Activities"
"1203310","Coaching - Sports","092103","Sports Coaching, Officiating and Instruction"
"1203315","Aerobics","092101","Sport and Recreation Activities"
"1203320","Gymnastics","092101","Sport and Recreation Activities"
"1203325","Self Defence","092101","Sport and Recreation Activities"
"1203330","Sports Conditioning","092103","Sports Coaching, Officiating and Instruction"
"1203335","Sports Officiating & Programming","092103","Sports Coaching, Officiating and Instruction"
"1203340","Swimming & Water Safety","092101","Sport and Recreation Activities"
"1203345","Fitness Leadership","092103","Sports Coaching, Officiating and Instruction"
"1203350","Physical Education","070199","Teacher Education, n.e.c."
"1203355","Sports Science","069903","Human Movement"
"1203405","Hairdressing/Barbering","110303","Hairdressing"
"1203410","Cosmetology","110301","Beauty Therapy"
"1203501","Miscellaneous Services - General","110399","Personal Services, n.e.c."
"1203505","Emergency Services (Non Medical)","039905","Fire Technology"
,,"080399","Business and Management, n.e.c."
"1299999","Other Hospitality, Tourism & Personal Services","110199","Food and Hospitality, n.e.c."
,,"110399","Personal Services, n.e.c."
"13","SOCIAL, EDUCATIONAL & EMPLOYMENT SKILLS",,
"1301105","Interpersonal Skills","120301","Social and Interpersonal Skills Programmes"
"1301110","Self Development/Awareness","080305","Personal Management Training"
"1301115","Stress Management","080305","Personal Management Training"
"1301305","Domestic/Living Skills","120303","Survival Skills Programmes"
"1301401","Parental Education - General","120305","Parental Education Programmes"
"1301999","Social Skills - Other","120399","Social Skills Programmes, n.e.c."
"1302105","General Numeracy","120103","Literacy and Numeracy Programmes"
"1302110","Bridging Mathematics","120101","General Primary and Secondary Education Programmes"
"1302205","General Literacy","120103","Literacy and Numeracy Programmes"
"1302210","English As A Second Language","091501","English Language"
"1302301","Learning Skills - General","120105","Learning Skills Programmes"
"1302310","Speaking & Listening Skills","100707","Verbal Communication"
"1302905","Driving Instruction","030515","Automotive Vehicle Operations"
"1302999","Education Skills - Other","120199","General Education Programmes, n.e.c."
"1303101","Career Development - General","120501","Career Development Programmes"
"1303201","Job Search Skills - General","120503","Job Search Skills Programmes"
"1303305","Work Practices/Environment","120505","Work Practices Programmes"
"1303999","Employment Skills - Other","120599","Employment Skills Programmes, n.e.c."
"1399999","Other Social, Educational & Employment Skills","129999","Mixed Field Programmes, n.e.c."

"Source: Australian Bureau of Statistics, Appendix 13, VET Discipline Group - ASCED Correspondence Table 2001"
