"ASCED Field of Education",,"Discipline Group - VET",
,,"0207310","History Of Women In Society"
,,"0207315","Women & Politics"
,,"0207320","Women & Culture"
,,"0207325","Women & Work"
"090399","Studies in Human Society, n.e.c.","0104101","Ethnic/Area Studies - General"
,,"0104201","Multicultural Studies - General"
,,"0104401","Australian Studies - General"
,,"0104410","Australian Culture"
,,"0299999","Other Social Studies"
"090501","Social Work","0204301","Social Work - General"
"090503","Children’s Services","0809101","Child Care - General"
,,"0809110","Human Growth & Development"
"090505","Youth Work","0204101","Welfare - General"
"090507","Care for the Aged","0809201","Caring For The Elderly - General"
"090509","Care for the Disabled","0809305","Care For The Disabled"
,,"0809315","Care For The Intellectually Disabled"
"090511","Residential Client Care","0809210","Residential Client Care"
"090513","Counselling","0204201","Counselling - General"
,,"0204210","Vocational Counselling"
,,"0204215","Social/Welfare Counselling"
,,"0301130","Education Counselling"
,,"0802501","Rehabilitation - General"
,,"0809420","Family Planning"
"090515","Welfare Studies","0204101","Welfare - General"
,,"0809310","Care For The Disadvantaged"
"090599","Human Welfare Studies and Services, n.e.c.","0204110","Community Development"
,,"0809405","Family And Community Care"
,,"0809410","Family And Community Services"
"090701","Psychology","0201101","Psychology - General"
,,"0809110","Human Growth & Development"
"090799","Behavioural Science, n.e.c.","0201101","Psychology - General"
"090901","Business and Commercial Law","0906135","Business & Commercial Law"
,,"0906140","Corporation Law"
"090903","Constitutional Law","0906115","Constitutional Law"
"090905","Criminal Law","0906110","Criminal Law"
"090907","Family Law","0906120","Family & Common Law"
"090909","International Law","0906145","International Law"
"090911","Taxation Law","0906135","Business & Commercial Law"
"090913","Legal Practice","0906101","Law - General"
"090999","Law, n.e.c.","0906125","Civil Law"
,,"0906130","Administrative Law"
,,"1002415","Planning Law"
,,"1102320","Animal Health Legislation/Law"
"091101","Justice Administration","0906201","Justice - General"
,,"0906205","Justice Administration"
,,"0906210","Courts Operation"
"091103","Legal Studies","0807130","Dental Jurisprudence"
,,"0906301","Legal Studies - General"
,,"0906401","Jurisprudence - General"
"091105","Police Studies","0906501","Law Enforcement - General"
,,"0906510","Crime Detection & Prevention"
,,"0906525","Police Studies"
"091199","Justice and Law Enforcement, n.e.c.","0906215","Correctional Services"
,,"0906501","Law Enforcement - General"
"091301","Librarianship and Information Management","0203101","Library/Archival Studies - General"
,,"0203110","Library Administration"
"091303","Curatorial Studies","0601101","Art - General"
,,"0601501","Conservation Of Art & Cultural Material - General"
"091501","English Language","0101101","English Language - General"
,,"0101115","English Grammar"
,,"1302210","English As A Second Language"
"091503","Northern European Languages","0105215","German - Language"
,,"0105240","Dutch - Language"
,,"0105299","Other European Language Other Than English"
"091505","Southern European Languages","0105205","French - Language"
,,"0105210","Greek - Language"
,,"0105220","Italian - Language"
,,"0105225","Spanish - Language"
,,"0105299","Other European Language Other Than English"
"091507","Eastern European Languages","0105230","Russian - Language"
,,"0105235","Polish - Language"
,,"0105245","Croatian/Serbian - Language"
,,"0105250","Yugoslavian - Language"
,,"0105255","Latvian - Language"
,,"0105299","Other European Language Other Than English"
"091509","Southwest Asian and North African Languages","0105199","Other Asian Language"
,,"0105301","Languages Other Than English, European & Asian - General"
"091511","Southern Asian Languages","0105199","Other Asian Language"
"091513","Southeast Asian Languages","0105115","Indonesian - Language"
,,"0105120","Malaysian - Language"
,,"0105125","Vietnamese - Language"
,,"0105130","Filipino - Language"
,,"0105199","Other Asian Language"
"091515","Eastern Asian Languages","0105105","Chinese - Language"
,,"0105110","Japanese - Language"
,,"0105199","Other Asian Language"
"091517","Australian Indigenous Languages","0104325","Aboriginal Languages - Studies Of"
,,"0105310","Aboriginal Language - Speaking"
"091519","Translating and Interpreting","0105401","Interpreting & Translating Languages - General"
"091521","Linguistics","0101301","Linguistics - General"
"091523","Literature","0101201","Literary Studies - General"
,,"0101210","American Literature"
,,"0101215","Comparative Literature"
,,"0101225","English Literature"
,,"0101230","Literary Criticism"
,,"0101235","Poetry & Prose"
,,"0101240","Australian Literature"
"091599","Language and Literature, n.e.c.","0105301","Languages Other Than English, European & Asian - General"
,,"0105315","Languages For The Hearing/Speech Impaired"
"091701","Philosophy","0103101","Philosophy - General"
,,"0103110","Ethics"
"091703","Religious Studies","0107101","Religious Studies - General"
,,"0107110","Theology"
"091901","Economics","0901101","Economics - General"
,,"0901110","Macro & Micro Economics"
,,"0901115","Australian Economy"
,,"0901120","International Economics"
,,"0901125","Agricultural Economics"
"091903","Econometrics","0901205","Economic Statistics"
,,"0901210","Econometrics"
"092101","Sport and Recreation Activities","1203101","Recreation & Outdoor Leisure - General"
,,"1203115","Fishing, Hunting & Shooting"
,,"1203120","Equestrian Sports & Animal Racing"
,,"1203305","Sport & Fitness"
,,"1203315","Aerobics"
,,"1203320","Gymnastics"
,,"1203325","Self Defence"
,,"1203340","Swimming & Water Safety"
"092103","Sports Coaching, Officiating and Instruction","1203110","Recreational Leadership"
,,"1203310","Coaching - Sports"
,,"1203330","Sports Conditioning"
,,"1203335","Sports Officiating & Programming"
,,"1203345","Fitness Leadership"
"092199","Sport and Recreation, n.e.c.","1203101","Recreation & Outdoor Leisure - General"
"099901","Family and Consumer Studies","0809415","Family Studies"
"099903","Criminology","0906515","Criminology"
,,"0906520","Crime Statistics & Research"
"099905","Security Services","0299999","Other Social Studies"
"099999","Society and Culture, n.e.c.","0199999","Other Humanities"
,,"0299999","Other Social Studies"
"10","CREATIVE ARTS",,
"100101","Music","0605101","Music - General"
,,"0605110","Orchestration"
,,"0605115","Instrument Work"
,,"0605120","Voice Work, Singing"
,,"0605125","Chamber Music"
"100103","Drama and Theatre Studies","0604201","Dramatic Arts - General"
,,"0604205","Drama"
,,"0604210","Acting"
,,"0604215","Stagecraft"
,,"0604220","Theatre"
"100105","Dance","0604101","Dance - General"
,,"0604110","Choreography"
,,"0604115","Ballet"
,,"0604120","Ballroom Dancing"
,,"0604125","Tap Dancing"
"100199","Performing Arts, n.e.c.","0699901","Visual/Performing Arts - General"
"100301","Fine Arts","0601110","Art History & Appreciation"
,,"0601120","Antiques & Collectables"
,,"0601201","Fine Arts - General"
,,"0601205","Drawing - Fine Arts"
,,"0601215","Calligraphy"
,,"0601220","Printing - General Art"
,,"0601225","Lithography"
,,"0601230","Etching"
,,"0601235","Painting - Fine Arts"
,,"0601240","Sculpture"
"100303","Photography","0601305","Photography"
"100305","Crafts","0601245","Collage"
,,"0603101","Craft, General"
,,"0603110","Ornaments - Craft"
,,"0603115","Fabrics/Fibre/Textiles"
,,"0603125","Ceramics, Pottery"
,,"0603130","Enamelling"
,,"0603145","Spinning & Weaving"
,,"0603150","Glasswork & Leadlighting"
,,"0603155","Canework - Craft"
,,"0603160","Soft Toy Making"
,,"0603165","Paper/Decoupage"
,,"0603170","Knitting & Crochet"
,,"0603175","Wood Crafts"
,,"0603180","Macrame"
,,"0603185","Sewing & Embroidery"
,,"0603190","Dyes & Dyeing"
,,"0603195","Leather Work - Craft"
"100307","Jewellery Making","0603120","Metal/Jewellery"
,,"0603135","Gold & Silver Smithing"
,,"0603140","Lapidary"
"100309","Floristry","0603177","Floral Art"
"100399","Visual Arts and Crafts, n.e.c.","0601410","Cartooning"
,,"0601420","Air-Brushing"
,,"0699901","Visual/Performing Arts - General"
"100501","Graphic Arts and Design Studies","0601210","Design - Art"
,,"0601401","Commercial Art - General"
,,"0602101","Graphic Arts & Design - General"
"100503","Textile Design","0603115","Fabrics/Fibre/Textiles"
"100505","Fashion Design","0602201","Fashion Design - General"
"100599","Graphic and Design Studies, n.e.c.","0602101","Graphic Arts & Design - General"
,,"1002510","Furniture & Fittings Design"
,,"1003315","Furniture Design & Construction"
"100701","Audio Visual Studies","0106210","Broadcasting"
,,"0601310","Film & Video Production Techniques"
,,"0903415","Media Studies"
"100703","Journalism","0106205","Journalism"
,,"0106215","Current Affairs"
"100705","Written Communication","0101220","Creative Writing"
,,"0106115","Written Communication"
"100707","Verbal Communication","0106110","Oral Communication"
,,"0106120","Public Speaking"
,,"0106125","Debating"
,,"1302310","Speaking & Listening Skills"
"100799","Communication and Media Studies, n.e.c.","0106101","Communication Studies - General"
,,"0903415","Media Studies"
"109999","Creative Arts, n.e.c.","0699999","Other Visual/Performing Arts"
"11","FOOD, HOSPITALITY AND PERSONAL SERVICES",,
"110101","Hospitality","1201101","Hospitality - General"
,,"1201110","Hospitality Management"
,,"1201120","Hotel/Motel & Other Hospitality Services & Facilities"
,,"1201510","Commercial Catering"
"110103","Food and Beverage Service","1201115","Beverage And Food Service"
"110105","Butchery","1201301","Butchery - General"
,,"1201315","Meat Manufacture"
"110107","Baking and Pastrymaking","1201205","Bakery Technology"
,,"1201215","Bread And Pastry Making"
,,"1201220","Cake Making/Decorating"
"110109","Cookery","1201405","General Cookery"
,,"1201410","Food And Kitchen Management"
,,"1201505","Commercial Cookery & Operations"
,,"1201515","Commercial Food Operations And Management"
"110111","Food Hygiene","0499230","Food Hygiene"
"110199","Food and Hospitality, n.e.c.","1299999","Other Hospitality, Tourism & Personal Services"
"110301","Beauty Therapy","1203410","Cosmetology"
"110303","Hairdressing","1203405","Hairdressing/Barbering"
"110399","Personal Services, n.e.c.","1203501","Miscellaneous Services - General"
,,"1299999","Other Hospitality, Tourism & Personal Services"
"12","MIXED FIELD PROGRAMMES",,
"120101","General Primary and Secondary Education Programmes","1302110","Bridging Mathematics"
"120103","Literacy and Numeracy Programmes","1302105","General Numeracy"
,,"1302205","General Literacy"
"120105","Learning Skills Programmes","1302301","Learning Skills - General"
"120199","General Education Programmes, n.e.c.","1302999","Education Skills - Other"
"120301","Social and Interpersonal Skills Programmes","1301105","Interpersonal Skills"
"120303","Survival Skills Programmes","1301305","Domestic/Living Skills"
"120305","Parental Education Programmes","1301401","Parental Education - General"
"120399","Social Skills Programmes, n.e.c.","1301999","Social Skills - Other"
"120501","Career Development Programmes","1303101","Career Development - General"
"120503","Job Search Skills Programmes","1303201","Job Search Skills - General"
"120505","Work Practices Programmes","1303305","Work Practices/Environment"
"120599","Employment Skills Programmes, n.e.c.","1303999","Employment Skills - Other"
"129999","Mixed Field Programmes, n.e.c.","1399999","Other Social, Educational & Employment Skills"

"Source: Australian Bureau of Statistics, Appendix 12, ASCED - VET Discipline Group Correspondence Table 2001"
